sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"1,8",195,5435,"0,8",192,5319,"0,2",true
0,"1",195,5435,"1",195,5435,"0,2",false
0,"0,8",195,5435,"0,8",195,5435,"0,3",false
0,"1,2",195,5435,"1,2",195,5435,"0,3",false
0,"0,8",195,5435,"0,8",195,5435,"0,4",false
0,"0,8",195,5435,"0,8",195,5435,"0,4",false
0,"0,8",195,5435,"0,8",195,5435,"0,5",false
0,"0,8",195,5435,"0,8",195,5435,"0,6",false
0,"0,8",195,5435,"0,8",195,5435,"0,6",false
0,"0,8",195,5435,"0,8",195,5435,"0,7",false
0,"0,8",195,5435,"0,8",195,5435,"0,7",false
0,"0,8",195,5435,"0,8",195,5435,"0,8",false
0,"0,8",195,5435,"0,8",195,5435,"0,8",false
0,"0,8",195,5435,"0,8",195,5435,"0,9",false
0,"0,8",195,5435,"0,8",195,5435,"0,9",false
0,"0,8",195,5435,"0,8",195,5435,"1",false
0,"0,8",195,5435,"0,8",195,5435,"1",false
0,"0,8",195,5435,"0,8",195,5435,"1,1",false
0,"0,8",195,5435,"0,8",195,5435,"1,1",false
0,"0,8",195,5435,"0,8",195,5435,"1,2",false
0,"0,8",195,5435,"0,8",195,5435,"1,3",false
0,"0,8",195,5435,"0,8",195,5435,"1,3",false
0,"0,8",195,5435,"0,8",195,5435,"1,4",false
0,"0,8",195,5435,"0,8",195,5435,"1,4",false
0,"0,8",195,5435,"0,8",195,5435,"1,5",false
0,"0,8",195,5435,"0,8",195,5435,"1,5",false
0,"0,8",195,5435,"0,8",195,5435,"1,6",false
0,"0,8",195,5435,"0,8",195,5435,"1,6",false
0,"0,8",195,5435,"0,8",195,5435,"1,7",false
0,"0,8",195,5435,"0,8",195,5435,"1,7",false
0,"0,8",195,5435,"0,8",195,5435,"1,8",false
0,"0,8",195,5435,"0,8",195,5435,"1,9",false
0,"0,8",195,5435,"0,8",195,5435,"1,9",false
0,"0,8",195,5435,"0,8",195,5435,"2",false
0,"0,8",195,5435,"0,8",195,5435,"2",false
0,"0,8",195,5435,"0,8",195,5435,"2,1",false
0,"0,8",195,5435,"0,8",195,5435,"2,1",false
0,"0,8",195,5435,"0,8",195,5435,"2,2",false
0,"0,8",195,5435,"0,8",195,5435,"2,2",false
0,"0,8",195,5435,"0,8",195,5435,"2,3",false
0,"0,8",195,5435,"0,8",195,5435,"2,3",false
0,"0,8",195,5435,"0,8",195,5435,"2,4",false
0,"0,8",195,5435,"0,8",195,5435,"2,4",false
0,"0,8",195,5435,"0,8",195,5435,"2,5",false
0,"0,8",195,5435,"0,8",195,5435,"2,6",false
0,"0,8",195,5435,"0,8",195,5435,"2,6",false
0,"0,8",195,5435,"0,8",195,5435,"2,7",false
0,"0,8",195,5435,"0,8",195,5435,"2,7",false
0,"0,8",195,5435,"0,8",195,5435,"2,8",false
0,"0,8",195,5435,"0,8",195,5435,"2,8",false
0,"0,8",195,5435,"0,8",195,5435,"2,9",false
0,"0,8",195,5435,"0,8",195,5435,"2,9",false
0,"0,8",195,5435,"0,8",195,5435,"3",false
0,"0,8",195,5435,"0,8",195,5435,"3",false
0,"0,8",195,5435,"0,8",195,5435,"3,1",false
0,"0,8",195,5435,"0,8",195,5435,"3,2",false
0,"0,8",195,5435,"0,8",195,5435,"3,2",false
0,"0,8",195,5435,"0,8",195,5435,"3,3",false
0,"0,8",195,5435,"0,8",195,5435,"3,3",false
0,"0,8",195,5435,"0,8",195,5435,"3,4",false
0,"0,8",195,5435,"0,8",195,5435,"3,4",false
0,"0,8",195,5435,"0,8",195,5435,"3,5",false
0,"0,8",195,5435,"0,8",195,5435,"3,5",false
0,"0,8",195,5435,"0,8",195,5435,"3,6",false
0,"0,8",195,5435,"0,8",195,5435,"3,6",false
0,"0,8",195,5435,"0,8",195,5435,"3,7",false
0,"0,8",195,5435,"0,8",195,5435,"3,8",false
0,"0,8",195,5435,"0,8",195,5435,"3,8",false
0,"0,8",195,5435,"0,8",195,5435,"3,9",false
0,"0,8",195,5435,"0,8",195,5435,"3,9",false
0,"0,8",195,5435,"0,8",195,5435,"4",false
0,"0,8",195,5435,"0,8",195,5435,"4",false
0,"0,8",195,5435,"0,8",195,5435,"4,1",false
0,"0,8",195,5435,"0,8",195,5435,"4,1",false
0,"0,8",195,5435,"0,8",195,5435,"4,2",false
0,"0,8",195,5435,"0,8",195,5435,"4,2",false
0,"0,8",195,5435,"0,8",195,5435,"4,3",false
0,"0,8",195,5435,"0,8",195,5435,"4,3",false
0,"0,8",195,5435,"0,8",195,5435,"4,4",false
0,"0,8",195,5435,"0,8",195,5435,"4,5",false
0,"0,8",195,5435,"0,8",195,5435,"4,5",false
0,"0,8",195,5435,"0,8",195,5435,"4,6",false
0,"0,8",195,5435,"0,8",195,5435,"4,6",false
0,"0,8",195,5435,"0,8",195,5435,"4,7",false
0,"0,8",195,5435,"0,8",195,5435,"4,7",false
0,"0,8",195,5435,"0,8",195,5435,"4,8",false
0,"0,8",195,5435,"0,8",195,5435,"4,8",false
0,"0,8",195,5435,"0,8",195,5435,"4,9",false
0,"0,8",195,5435,"0,8",195,5435,"4,9",false
0,"0,8",195,5435,"0,8",195,5435,"5",false
0,"0,8",195,5435,"0,8",195,5435,"5,1",false
0,"0,8",195,5435,"0,8",195,5435,"5,1",false
0,"0,8",195,5435,"0,8",195,5435,"5,2",false
0,"0,8",195,5435,"0,8",195,5435,"5,2",false
0,"0,8",195,5435,"0,8",195,5435,"5,3",false
0,"0,8",195,5435,"0,8",195,5435,"5,3",false
0,"0,8",195,5435,"0,8",195,5435,"5,4",false
0,"0,8",195,5435,"0,8",195,5435,"5,4",false
0,"0,8",195,5435,"0,8",195,5435,"5,5",false
0,"0,8",195,5435,"0,8",195,5435,"5,5",false
0,"0,8",195,5435,"0,8",195,5435,"5,6",false
0,"0,8",195,5435,"0,8",195,5435,"5,7",false
0,"0,8",195,5435,"0,8",195,5435,"5,7",false
0,"0,8",195,5435,"0,8",195,5435,"5,8",false
0,"0,8",195,5435,"0,8",195,5435,"5,8",false
0,"0,8",195,5435,"0,8",195,5435,"5,9",false
0,"0,8",195,5435,"0,8",195,5435,"5,9",false
0,"0,8",195,5435,"0,8",195,5435,"6",false
0,"0,8",195,5435,"0,8",195,5435,"6",false
0,"0,8",195,5435,"0,8",195,5435,"6,1",false
0,"0,8",195,5435,"0,8",195,5435,"6,1",false
0,"0,8",195,5435,"0,8",195,5435,"6,2",false
0,"0,8",195,5435,"0,8",195,5435,"6,3",false
0,"0,8",195,5435,"0,8",195,5435,"6,3",false
0,"0,8",195,5435,"0,8",195,5435,"6,4",false
0,"0,8",195,5435,"0,8",195,5435,"6,4",false
0,"0,8",195,5435,"0,8",195,5435,"6,5",false
